"ZIP
code [1]",Size of adjusted gross income,Number of returns [2],Number of single returns,Number of joint returns,Number of head of household returns,Number of individuals,Elderly returns,"Business or profession
net income (less loss)",Farm returns,Unemployment compensation [9],Taxable Social Security benefits,Partnership/S-corp net income (less loss)
98047,"$1 under $25,000",850,640,70,130,1150,110,110,0,20,30,20
98047,"$25,000 under $50,000",1010,580,180,230,1840,120,100,0,40,70,0
98047,"$50,000 under $75,000",620,260,220,100,1330,110,80,0,30,70,30
98047,"$75,000 under $100,000",350,100,200,60,850,60,40,0,20,50,0
98047,"$100,000 under $200,000",430,60,360,0,1220,90,50,0,30,40,40
98047,"$200,000 or more",40,0,30,0,90,0,0,0,0,0,0
,,,,,,,,,,,,
98051,,1960,840,970,140,3860,540,280,0,90,360,170
98051,"$1 under $25,000",380,330,40,0,350,90,50,0,30,40,20
98051,"$25,000 under $50,000",350,220,70,70,520,100,40,0,0,70,0
98051,"$50,000 under $75,000",250,120,90,30,430,90,30,0,20,60,20
98051,"$75,000 under $100,000",210,70,120,40,430,70,30,0,0,50,0
98051,"$100,000 under $200,000",490,100,390,0,1240,150,70,0,40,120,50
98051,"$200,000 or more",280,0,260,0,890,40,60,0,0,20,80
,,,,,,,,,,,,
98052,,35040,16260,16580,1690,69780,5580,4570,20,770,3190,2110
98052,"$1 under $25,000",5420,4550,480,300,5130,960,790,0,70,230,100
98052,"$25,000 under $50,000",4450,3300,670,390,6180,760,600,20,160,500,90
98052,"$50,000 under $75,000",3460,2290,840,250,5310,710,460,0,120,520,130
98052,"$75,000 under $100,000",3170,1550,1390,170,5980,680,390,0,100,470,160
98052,"$100,000 under $200,000",8600,3300,4820,350,18150,1570,1080,0,190,1030,550
98052,"$200,000 or more",9940,1270,8380,230,29030,900,1250,0,130,440,1080
,,,,,,,,,,,,
98053,,10150,3830,5840,390,22190,3370,1570,30,220,2250,1070
98053,"$1 under $25,000",1730,1480,180,50,1420,440,220,0,0,110,40
98053,"$25,000 under $50,000",1120,790,240,80,1650,410,160,0,40,310,50
98053,"$50,000 under $75,000",930,550,290,70,1480,430,120,0,30,340,50
98053,"$75,000 under $100,000",750,340,350,40,1350,410,110,30,20,330,60
98053,"$100,000 under $200,000",2170,460,1610,80,5140,1060,380,0,70,790,250
98053,"$200,000 or more",3450,210,3170,70,11150,620,580,0,60,370,620
,,,,,,,,,,,,
98055,,12530,7060,3800,1440,21380,2450,1700,0,350,1290,360
98055,"$1 under $25,000",2870,2240,270,320,3470,500,500,0,60,110,30
98055,"$25,000 under $50,000",3210,2170,450,500,4890,510,370,0,90,320,30
98055,"$50,000 under $75,000",2280,1370,530,310,3700,440,250,0,50,270,50
98055,"$75,000 under $100,000",1530,670,690,150,3010,340,190,0,60,220,40
98055,"$100,000 under $200,000",2110,530,1440,130,4990,520,300,0,90,300,120
98055,"$200,000 or more",530,80,420,30,1320,140,90,0,0,70,90
,,,,,,,,,,,,
98056,,18220,9510,6570,1840,32820,3660,2790,0,510,1920,1100
98056,"$1 under $25,000",3920,3040,420,400,4470,710,630,0,50,160,80
98056,"$25,000 under $50,000",4040,2720,610,640,6260,620,560,0,120,360,110
98056,"$50,000 under $75,000",2890,1690,760,380,4960,590,380,0,110,380,120
98056,"$75,000 under $100,000",1970,900,860,160,3860,470,280,0,70,320,100
98056,"$100,000 under $200,000",3480,910,2330,200,8120,900,570,0,120,500,300
98056,"$200,000 or more",1920,250,1590,60,5150,370,370,0,40,200,390
,,,,,,,,,,,,
98057,,7640,4900,1660,940,11740,1500,990,0,290,780,240
98057,"$1 under $25,000",1760,1370,110,250,2200,350,320,0,50,90,0
98057,"$25,000 under $50,000",2320,1680,220,370,3280,360,240,0,90,200,50
98057,"$50,000 under $75,000",1500,990,310,180,2340,270,170,0,70,160,20
98057,"$75,000 under $100,000",790,430,280,60,1350,160,80,0,30,110,30
98057,"$100,000 under $200,000",990,360,550,80,1950,270,130,0,50,170,70
98057,"$200,000 or more",280,70,190,0,620,90,50,0,0,50,70
,,,,,,,,,,,,
98058,,22000,10790,8730,2100,41100,5110,3110,30,660,3000,970
98058,"$1 under $25,000",4730,3730,490,450,5280,860,770,0,70,230,70
98058,"$25,000 under $50,000",4610,3040,760,680,7260,830,560,0,150,570,100
98058,"$50,000 under $75,000",3520,1990,970,470,6160,800,420,0,100,550,110
98058,"$75,000 under $100,000",2470,980,1200,240,5040,730,340,30,110,500,120
98058,"$100,000 under $200,000",4990,890,3820,230,12560,1480,750,0,180,930,290
98058,"$200,000 or more",1680,160,1490,30,4800,410,270,0,50,220,280
,,,,,,,,,,,,
98059,,19350,8690,8830,1520,39070,4140,2850,20,590,2410,1360
98059,"$1 under $25,000",4060,3300,410,290,4010,800,580,0,50,200,80
98059,"$25,000 under $50,000",3310,2220,580,440,5050,680,400,20,100,490,90
98059,"$50,000 under $75,000",2400,1330,710,290,4240,620,280,0,80,420,100
98059,"$75,000 under $100,000",1930,780,930,180,4030,550,270,0,80,400,110
98059,"$100,000 under $200,000",4560,850,3410,240,12040,1040,770,0,200,680,390
98059,"$200,000 or more",3090,210,2790,80,9700,450,550,0,80,220,590
,,,,,,,,,,,,
98065,,6960,2570,3810,520,15960,1130,1110,20,220,690,620
98065,"$1 under $25,000",1200,1050,90,50,900,180,130,0,0,60,0
98065,"$25,000 under $50,000",810,560,110,120,1170,160,100,20,50,110,50
98065,"$50,000 under $75,000",630,360,180,80,1060,180,90,0,30,120,30
98065,"$75,000 under $100,000",510,210,230,70,1050,130,90,0,20,110,40
98065,"$100,000 under $200,000",1780,300,1330,130,4920,320,330,0,80,210,160
98065,"$200,000 or more",2030,90,1870,70,6860,160,370,0,40,80,340
,,,,,,,,,,,,
98070,,5680,2730,2550,370,10150,2430,1570,70,130,1510,650
98070,"$1 under $25,000",1390,1100,160,120,1480,450,390,30,0,110,50
98070,"$25,000 under $50,000",980,680,190,90,1440,380,250,0,40,270,60
98070,"$50,000 under $75,000",690,370,260,60,1190,330,170,0,30,250,70
98070,"$75,000 under $100,000",560,210,320,30,1100,290,170,0,0,200,60
98070,"$100,000 under $200,000",1300,260,980,70,3030,650,370,40,60,460,180
98070,"$200,000 or more",760,110,640,0,1910,330,220,0,0,220,230
,,,,,,,,,,,,
98072,,12830,5800,6150,690,25080,3430,2140,30,370,2000,1330
98072,"$1 under $25,000",2440,2080,230,100,2150,510,360,0,30,130,50
98072,"$25,000 under $50,000",1840,1330,300,160,2550,460,240,0,50,330,60
98072,"$50,000 under $75,000",1460,910,360,150,2290,440,210,30,60,300,90
