"ZIP
code [1]",Size of adjusted gross income,Number of returns,Number of single returns,Number of joint returns,Number of head of household returns,Number of individuals,Number of dependents,Elderly returns,Adjusted gross income (AGI) [6],"Business or profession - Number of returns
net income (less loss)",Farm returns,Unemployment compensation [8],Taxable Social Security benefits,Partnership/S-corp net income (less loss),Self-employment tax
98047,"$25,000 under $50,000",1000,560,160,250,1900,750,110,36906,90,0,40,70,** ,70
98047,"$50,000 under $75,000",580,240,220,100,1320,520,110,35534,70,0,40,70,50,60
98047,"$75,000 under $100,000",360,100,220,60,910,340,60,30999,40,0,** ,40,** ,30
98047,"$100,000 under $200,000",390,60,320,** ,1100,400,90,49735,60,0,20,30,30,50
98047,"$200,000 or more",40,** ,30,0,100,30,** ,17277,** ,0,0,** ,** ,** 
,,,,,,,,,,,,,,,
98051,,1900,820,970,110,3780,1090,500,240744,260,0,70,320,150,190
98051,"$1 under $25,000",400,340,40,20,360,60,90,4790,40,0,20,30,** ,30
98051,"$25,000 under $50,000",330,210,70,50,510,120,80,12073,40,0,** ,60,** ,30
98051,"$50,000 under $75,000",240,120,100,20,430,100,80,14687,30,0,30,60,40,50
98051,"$75,000 under $100,000",210,70,130,20,450,110,70,18503,30,0,** ,50,** ,** 
98051,"$100,000 under $200,000",460,80,390,** ,1230,390,130,64104,60,0,20,100,40,40
98051,"$200,000 or more",260,** ,240,** ,800,310,50,126587,60,0,** ,20,70,40
,,,,,,,,,,,,,,,
98052,,33650,15220,16220,1740,68230,20220,5530,5647579,4590,30,870,3200,2130,3470
98052,"$1 under $25,000",5470,4540,490,350,5210,870,970,62469,800,** ,90,240,100,660
98052,"$25,000 under $50,000",4380,3220,670,410,6300,1370,720,162623,560,** ,160,510,100,430
