"ZIP
code [1]",Size of adjusted gross income,Number of returns [2],Number of single returns,Number of joint returns,Number of head of household returns,Number of individuals,Elderly returns,Farm returns,Unemployment compensation [9],Taxable Social Security benefits,Partnership/S-corp net income (less loss)
98052,"$100,000 under $200,000",8090,3620,4020,310,15900,1400,0,760,900,420
98052,"$200,000 or more",11090,1790,8970,260,31170,1000,0,730,460,1160
,,,,,,,,,,,
98053,,10050,3780,5760,400,22010,3360,30,1250,2210,1030
98053,"$1 under $25,000",1710,1420,200,60,1600,510,0,220,150,40
98053,"$25,000 under $50,000",1090,760,230,80,1570,410,0,230,320,50
98053,"$50,000 under $75,000",940,580,290,50,1470,460,0,160,350,50
98053,"$75,000 under $100,000",760,330,390,40,1400,410,0,120,320,60
98053,"$100,000 under $200,000",1930,450,1370,90,4410,950,30,250,710,210
98053,"$200,000 or more",3620,240,3280,80,11560,620,0,270,360,620
,,,,,,,,,,,
98055,,12360,7100,3700,1320,20910,2480,0,3200,1370,400
98055,"$1 under $25,000",2680,2090,280,270,3340,560,0,610,140,30
98055,"$25,000 under $50,000",3230,2230,440,480,4900,500,0,1020,340,50
98055,"$50,000 under $75,000",2330,1450,520,290,3720,460,0,600,300,60
98055,"$75,000 under $100,000",1460,660,630,140,2740,350,0,330,220,40
98055,"$100,000 under $200,000",2090,570,1390,110,4790,500,0,530,310,130
98055,"$200,000 or more",570,100,440,30,1420,110,0,110,60,90
,,,,,,,,,,,
98056,,17910,9470,6340,1770,31850,3700,0,4200,1930,1040
98056,"$1 under $25,000",3780,2950,400,360,4460,810,0,770,210,80
98056,"$25,000 under $50,000",4010,2670,640,610,6270,650,0,1230,390,100
98056,"$50,000 under $75,000",2840,1710,710,360,4680,560,0,660,360,110
98056,"$75,000 under $100,000",1840,870,750,170,3490,440,0,460,290,90
98056,"$100,000 under $200,000",3360,980,2130,200,7480,840,0,750,480,280
98056,"$200,000 or more",2080,290,1710,70,5470,400,0,330,200,380
,,,,,,,,,,,
98057,,7420,4830,1580,860,11260,1490,0,1980,770,250
98057,"$1 under $25,000",1670,1330,100,210,2070,360,0,380,90,20
98057,"$25,000 under $50,000",2230,1640,210,320,3100,380,0,750,210,30
98057,"$50,000 under $75,000",1490,1000,280,170,2230,240,0,410,150,50
98057,"$75,000 under $100,000",760,400,270,80,1330,160,0,180,110,0
98057,"$100,000 under $200,000",980,380,520,80,1900,270,0,210,160,70
98057,"$200,000 or more",290,80,200,0,630,80,0,50,50,80
,,,,,,,,,,,
98058,,21800,10810,8580,2020,40420,5310,30,5260,3080,1000
98058,"$1 under $25,000",4490,3590,480,350,5230,960,0,930,290,70
